	Offense	Defense	Sp. Tms	TO	TotYd	OppTO
atl	4.053125	-8.096875	1.871875	1.5384615384615385	314.6875	1.6
buf	10.071333333333335	0.5573333333333336	0.3306666666666665	2.0	402.26666666666665	2.0
car	0.20937500000000053	-3.5106249999999997	2.195625	1.9	312.6875	1.4545454545454546
chi	-0.08687500000000004	-9.536875	1.7025000000000001	1.5333333333333334	310.875	2.1
cin	8.720666666666666	-1.518666666666667	-1.1639999999999995	1.8888888888888888	367.4	2.0
cle	3.41	-2.944375	-0.6425000000000001	1.5833333333333333	351.6875	1.5833333333333333
clt	-7.139374999999999	-3.2018750000000002	1.96375	2.066666666666667	306.25	1.5
crd	-1.3150000000000004	-4.506875	-0.21187499999999992	1.9090909090909092	327.75	1.5384615384615385
dal	7.581250000000001	1.9325	-0.6206249999999998	1.75	365.75	2.4615384615384617
den	-3.624375	0.6168750000000003	-1.474375	1.6923076923076923	316.0	1.9090909090909092
det	9.46125	-9.959375	1.89125	1.875	383.5625	1.4285714285714286
gnb	4.286875	-3.325	-0.5725000000000001	1.6666666666666667	340.875	1.8461538461538463
htx	-7.5268749999999995	-4.788125	3.19875	1.7857142857142858	278.75	1.8461538461538463
jax	6.22	-2.808125	-1.205625	1.75	365.8125	2.0833333333333335
kan	13.89875	-2.890625	-3.8325000000000005	1.7692307692307692	417.6875	1.6363636363636365
mia	6.16125	-4.7406250000000005	-1.5456249999999998	2.3333333333333335	368.4375	1.75
min	3.7025	-5.359375	0.6224999999999999	1.75	353.9375	1.9166666666666667
nor	1.3393750000000004	-2.4381250000000003	-0.48187499999999994	2.0	335.625	1.2
nwe	-1.4525000000000001	3.789375	-1.138125	1.6666666666666667	312.9375	1.9285714285714286
nyg	4.0737499999999995	-5.433125	0.06312499999999988	1.6	337.0	1.6363636363636365
nyj	-2.535	1.3749999999999996	1.0575	2.090909090909091	326.375	1.4545454545454546
oti	-1.09625	-3.52625	1.36875	1.9090909090909092	295.8125	1.7272727272727273
phi	10.932500000000001	0.8274999999999997	-2.11625	2.0	392.0	1.8
pit	1.96	-2.7268749999999997	-1.90625	2.25	321.9375	2.1
rai	4.984999999999999	-7.203125	1.281875	1.7272727272727273	357.125	1.0833333333333333
ram	-0.23187499999999994	-4.91875	0.43499999999999983	1.8333333333333333	281.25	2.5
rav	3.956875	-2.60375	1.5731249999999999	1.5454545454545454	335.875	1.8461538461538463
sdg	4.364375000000001	-4.06625	0.11499999999999996	1.5454545454545454	359.75	1.6923076923076923
sea	3.76875	-5.585624999999999	2.58375	1.4	348.375	2.0
sfo	8.33	3.3050000000000006	-2.0625	1.7	369.0625	2.0
tam	0.5675	-0.15562500000000012	-3.0787500000000003	1.9090909090909092	354.5	1.9
was	-1.191875	-1.29875	-0.25375	1.5714285714285714	331.625	1.6
